Symobol     Probability     Huffman Code

O           0.1077          0000
T           0.1121          0001
E           0.1165          001
R           0.0505          0100
N           0.0549          01010
S           0.0549          010110
A           0.0813          010111
C           0.0264          011
I           0.0286          100
D           0.0308          10100
P           0.0308          10101
H           0.033          10110
M           0.033          10111
Y           0.0374          11000
U           0.0418          110010
L           0.0484          1100110
W           0.0132          1100111
F           0.0154          11010
G           0.0154          11011
K           0.0242          1110
B           0.0088          1111000
.           0.011          111100100
V           0.011          111100101
!           0.0088          11110011
,           0.0022          111101
J           0.0022          11111
